kind,run,exit,elapsed_ns
wire,55,0,63801716
wire,56,0,63383660
wire,57,0,63203685
wire,58,0,62739470
wire,59,0,61299227
wire,60,0,63395690
wire,61,0,61737662
wire,62,0,63630402
wire,63,0,63562184
wire,64,0,62968243
wire,65,0,63360421
wire,66,0,63390560
wire,67,0,63357810
wire,68,0,63152187
wire,69,0,63860765
wire,70,0,63310902
wire,71,0,63496276
wire,72,0,63167687
wire,73,0,61688704
wire,74,0,63123328
wire,75,0,63208356
wire,76,0,65372276
wire,77,0,62947654
wire,78,0,62609935
wire,79,0,61378854
wire,80,0,62630334
wire,81,0,61621237
wire,82,0,62932624
wire,83,0,62002014
wire,84,0,63392240
wire,85,0,62996893
wire,86,0,62691243
wire,87,0,62603685
wire,88,0,61917077
wire,89,0,64507045
wire,90,0,63232475
wire,91,0,62923155
wire,92,0,62788019
wire,93,0,62946025
wire,94,0,62982163
wire,95,0,63240655
wire,96,0,61840109
wire,97,0,62875977
wire,98,0,63187437
wire,99,0,61331916
wire,100,0,62620955
wire,101,0,63129769
wire,102,0,61517260
wire,103,0,62798709
wire,104,0,61330186
wire,105,0,62469720
wire,106,0,61295927
wire,107,0,63004253
wire,108,0,61535280
wire,109,0,62801779
wire,110,0,63286634
wire,111,0,63470168
wire,112,0,62697502
wire,113,0,61353925
wire,114,0,62949545
wire,115,0,63149328
wire,116,0,61604317
wire,117,0,63505947
wire,118,0,62792780
wire,119,0,62864757
wire,120,0,63294413
wire,121,0,63304643
wire,122,0,63349521
wire,123,0,61817141
wire,124,0,64215244
wire,125,0,63201107
wire,126,0,62851717
wire,127,0,63436329
wire,128,0,62452390
wire,129,0,62884247
wire,130,0,62001715
wire,131,0,63645432
wire,132,0,63998981
wire,133,0,62468720
wire,134,0,62888986
wire,135,0,62825259
wire,136,0,61973926
wire,137,0,63025022
wire,138,0,63366551
wire,139,0,61985786
wire,140,0,63385920
wire,141,0,62602775
wire,142,0,61268328
wire,143,0,63050511
wire,144,0,61817771
wire,145,0,63043802
wire,146,0,63178768
wire,147,0,61532260
wire,148,0,62671204
wire,149,0,61726404
wire,150,0,62649374
wire,151,0,63264885
wire,152,0,61379845
wire,153,0,62882617
wire,154,0,61704904
wire,155,0,63185467
wire,156,0,62812569
wire,157,0,62535108
wire,158,0,63232325
wire,159,0,63241796
wire,160,0,63312034
wire,161,0,62339275
wire,162,0,63310934
wire,163,0,63000983
wire,164,0,63066301
wire,165,0,63077121
wire,166,0,63302594
wire,167,0,61712605
wire,168,0,63465159
wire,169,0,63366682
wire,170,0,62792090
wire,171,0,64030731
wire,172,0,62752661
wire,173,0,63525877
wire,174,0,63102230
wire,175,0,63222776
wire,176,0,61865590
wire,177,0,64566113
wire,178,0,62422352
wire,179,0,63609325
wire,180,0,62871767
wire,181,0,63946174
wire,182,0,62766641
wire,183,0,63030453
wire,184,0,61673086
wire,185,0,63103510
wire,186,0,63272245
wire,187,0,63221727
wire,188,0,62871928
wire,189,0,61788932
wire,190,0,62888317
wire,191,0,63650953
wire,192,0,62847929
wire,193,0,61035126
wire,194,0,62788741
wire,195,0,61335117
wire,196,0,62688734
wire,197,0,62166120
wire,198,0,62887907
wire,199,0,61180141
wire,200,0,64544164
